Title,Imdb,Runtime,Year,Director,Platform,Genre
Then Barbara Met Alan,6.7,1h 7min,2022,Bruce Goodison,Netflix,Drama
Christina P: Mom Genes,6.1,1h 2min,2022,Ryan Polito,Netflix,"Comedy, Documentary"
Wonder Boy,6.196438356164386,1h 39min,2019,Anissa Bonnefont,Netflix,"Documentary, Made in Europe"
A Secret Love,7.8,1h 22min,2020,Chris Bolan,Netflix,"Documentary, Drama"
Charming,5.6,1h 30min,2018,Ross Venokur,Netflix,"Comedy, Kids & Family, Fantasy, Animation"
The Wandering Earth,5.9,2h 6min,2019,Frant Gwo,Netflix,"Drama, Action & Adventure, Science-Fiction, Mystery & Thriller"
Father Christmas Is Back,4.5,1h 45min,2021,Philippe Martinez,Netflix,Comedy
Welcome to Sudden Death,4.3,1h 20min,2020,Dallas Jackson,Netflix,Action & Adventure
Christine,6.9,2h 3min,2016,Jessica Adler,Netflix,Drama
Eric Andre: Legalize Everything,6.2,52min,2020,Eric Notarnicola,Netflix,Comedy
Prime Time,5.2,1h 33min,2021,Jakub Piątek,Netflix,"Drama, Mystery & Thriller"
Split at the Root,8.7,1h 36min,2022,Linda Goldstein Knowlton,Netflix,Documentary
Arctic,6.8,1h 37min,2018,Joe Penna,Netflix,"Drama, Mystery & Thriller, Made in Europe"
Dancing with the Birds,6.196438356164386,51min,2019,Huw Cordey,Netflix,Documentary
Spectral,6.3,1h 47min,2016,Nic Mathieu,Netflix,"Science-Fiction, Mystery & Thriller, Action & Adventure"
Legends of the Hidden Temple,5.6,1h 5min,2016,Joe Menendez,Netflix,"Kids & Family, Action & Adventure"
Side Effects,7.1,1h 46min,2013,Steven Soderbergh,Netflix,"Mystery & Thriller, Drama, Crime"
Father Soldier Son,7.3,1h 39min,2020,Leslye Davis,Netflix,"Documentary, War & Military"
Lou,6.1,1h 47min,2022,Anna Foerster,Netflix,"Mystery & Thriller, Action & Adventure, Crime, Drama"
